Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which data types optimally store semi-structured data? (Choose two.),multi-select,A. ARRAY,B. CHARACTER,C. STRING,D. VARCHAR,E. VARIANT,,,,,,,,,,,"1, 5",AE - correct,
What compute resource is used when loading data using Snowpipe?,multiple-choice,A. Snowpipe uses virtual warehouses provided by the user.,B. Snowpipe uses an Apache Kafka server for its compute resources.,C. Snowpipe uses compute resources provided by Snowflake.,D. Snowpipe uses cloud platform compute resources provided by the user.,,,,,,,,,,,,3,"Confirmed, C is correct, according to docs: ""Snowpipe uses compute resources provided by Snowflake (i.e. a serverless compute model).""
C correct - https://docs.snowflake.com/en/user-guide/data-load-overview",
Which file function gives a user or application access to download unstructured data from a Snowflake stage?,multiple-choice,A. BUILD_SCOPED_FILE_URL,B. BUILD_STAGE_FILE_URL,C. GET_PRESIGNED_URL,D. GET_STAGE_LOCATION,,,,,,,,,,,,3,"Access and download - hence C. GET_PRESIGNED_URL
it's C : https://docs.snowflake.com/en/sql-reference/functions/get_presigned_url
BUILD_SCOPED_FILE_URL Ideal for use in custom applications, for providing unstructured data to other accounts through a share, or for downloading and analysis of unstructured data in Snowsight.
C correct - https://docs.snowflake.com/en/user-guide/unstructured-intro",
"By default, which role can create resource monitors?",multiple-choice,A. ACCOUNTADMIN,B. SECURITYADMIN,C. SYSADMIN,D. USERADMIN,,,,,,,,,,,,1,"Only users with the ACCOUNTADMIN role can create a resource monitor, but an account administrator can grant privileges to other roles to allow other users to view and modify resource monitors.
A correct - https://docs.snowflake.com/en/user-guide/resource-monitors",
Which DDL/DML operation is allowed on an inbound data share?,multiple-choice,A. ALTER TABLE,B. INSERT INTO,C. MERGE,D. SELECT,,,,,,,,,,,,4,"D. SELECT
You can't alter a shared table, only the share itself to add/remove accounts
https://docs.snowflake.com/en/user-guide/data-sharing-provider#ddl-for-shares",
Which types of charts does Snowsight support? (Choose two.),multi-select,A. Area charts,B. Bar charts,C. Column charts,D. Radar charts,E. Scorecards,,,,,,,,,,,"2, 5","BE.  Snowsight supports the following types of charts: Bar charts. Line charts. Scatterplots. Heat grids. Scorecards.
BE correct - https://docs.snowflake.com/en/user-guide/ui-snowsight-visualizations",
Which role in Snowflake allows a user to enable replication for multiple accounts?,multiple-choice,A. ACCOUNTADMIN,B. SECURITYADMIN,C. SYSADMIN,D. ORGADMIN,,,,,,,,,,,,4,"Enable replication for accounts in the organization The organization administrator (ORGADMIN role) must enable replication for the source and target accounts.
D correct - https://docs.snowflake.com/en/user-guide/database-replication-config",
Which Snowflake tool is recommended for data batch processing?,multiple-choice,A. SnowCD,B. SnowSQL,C. Snowsight,D. The Snowflake API,,,,,,,,,,,,2,"C to do batch processing, you can run some command in the UI, which is Snowsight
B correct - https://www.snowflake.com/guides/how-data-ingestion-framework-powers-large-data-set-usage#:~:text=For%20batch%20data%20loading%2C%20you%20can%20use%20the,leave%20the%20ongoing%20management%20of%20ingestion%20to%20Snowflake.",
Which Snowflake mechanism is used to limit the number of micro-partitions scanned by a query?,multiple-choice,A. Caching,B. Cluster depth,C. Query pruning,D. Retrieval optimization,,,,,,,,,,,,3,C correct - https://blog.devgenius.io/snowflake-micro-partitions-clustering-keys-dbt-b6cb1212dcbe,
"While clustering a table, columns with which data types can be used as clustering keys? (Choose two.)",multi-select,A. BINARY,B. GEOGRAPHY,C. GEOMETRY,D. OBJECT,E. VARIANT,,,,,,,,,,,"1, 3","AC correct. (Binary & Geometry)  It can be any datatype except  GEOGRAPHY.  VARIANT.  OBJECT. ARRAY.
AC correct - A clustering key can be defined when a table is created by appending a CLUSTER  Where each clustering key consists of one or more table columns/expressions, which can be of any data type, except GEOGRAPHY, VARIANT, OBJECT, or ARRAY  https://docs.snowflake.com/en/user-guide/tables-clustering-keys",
Which use case does the search optimization service support?,multiple-choice,A. Disjuncts (OR) in join predicates,B. LIKE/ILIKE/RLIKE join predicates,C. Join predicates on VARIANT columns,D. Conjunctions (AND) of multiple equality predicates,,,,,,,,,,,,4,"The search optimization service can improve the performance of queries with the following types of join predicates:  i> Equality predicates of the form dimension_table.column = fact_table.column. ii> Transformations on the side of the predicate with the dimension (e.g. string concatenation, addition, etc.). iii> Conjunctions (AND) of multiple equality predicates. https://medium.com/snowflake/snowflake-performance-search-optimization-service-part-2-382714956588
D correct. Search optimization can improve the performance of these types of queries: 1)Equality or IN Predicates 2)Substrings and Regular Expressions (LIKE/ILIKE/RLIKE/CONTAINS,... ) 3)Fields in VARIANT Columns 4)Geospatial Functions 5)Conjunctions of Supported Predicates (AND) 6)Disjunctions of Supported Predicates (OR) ----------------------------------------------------------------------------------- The search optimization service does not directly improve the performance of joins.  https://docs.snowflake.com/en/user-guide/search-optimization-service#label-search-optimization-service-queries
D correct - https://docs.snowflake.com/en/user-guide/search-optimization-service",
What should be used when creating a CSV file format where the columns are wrapped by single quotes or double quotes?,multiple-choice,A. BINARY_FORMAT,B. ESCAPE_UNENCLOSED_FIELD,C. FIELD_OPTIONALLY_ENCLOSED_BY,D. SKIP_BYTE_ORDER_MARK,,,,,,,,,,,,3,"C correct  Leave string fields unenclosed by setting the FIELD_OPTIONALLY_ENCLOSED_BY option to NONE (default) https://docs.snowflake.com/en/user-guide/data-unload-considerations#empty-strings-and-null-values
C correct - https://community.snowflake.com/s/article/Escaping-double-quotes-from-source-file",
"If a multi-cluster warehouse is using an economy scaling policy, how long will queries wait in the queue before another cluster is started?",multiple-choice,A. 1 minute,B. 2 minutes,C. 6 minutes,D. 8 minutes,,,,,,,,,,,,3,"Economy - 6 minutes Standard - immediately  Thus C is correct answer
C correct - https://community.snowflake.com/s/article/Cluster-Spin-up-criteria-in-MCW",
What does the TableScan operator represent in the Query Profile?,multiple-choice,A. The access to a single table,B. The access to data stored in stage objects,C. The list of values provided with the VALUES clause,D. The records generated using the TABLE(GENERATOR(...)) construct,,,,,,,,,,,,1,A correct - https://docs.snowflake.com/en/sql-reference/functions/get_query_operator_stats,
What information is found within the Statistic output in the Query Profile Overview?,multiple-choice,A. Operator tree,B. Table pruning,C. Most expensive nodes,D. Nodes by execution time,,,,,,,,,,,,2,"it's B - https://docs.snowflake.com/en/user-guide/ui-query-profile
D probably - https://docs.snowflake.com/en/user-guide/ui-query-profile",
Which roles can make grant decisions to objects within a managed access schema? (Choose two.),multi-select,A. ACCOUNTADMIN,B. SECURITYADMIN,C. SYSADMIN,D. ORGADMIN,E. USERADMIN,,,,,,,,,,,"1, 2","A and B are correct: https://docs.snowflake.com/en/sql-reference/sql/grant-privilege Only the SECURITYADMIN and ACCOUNTADMIN system roles have the MANAGE GRANTS privilege; however, the privilege can be granted to custom roles.  https://docs.snowflake.com/en/user-guide/security-access-control-configure With managed access schemas, object owners lose the ability to make grant decisions. Only the schema owner (i.e. the role with the OWNERSHIP privilege on the schema) or a role with the MANAGE GRANTS privilege can grant privileges on objects in the schema, including future grants, centralizing privilege management.  Since SECURITYADMIN and ACCOUNTADMIN have the MANAGE GRANTS global privilege, they can grant privileges on objects in a managed access schema.
AB - SECURITYADMIN or higher....higher is only AccountAdmin  https://docs.snowflake.com/en/user-guide/security-access-control-configure#label-managed-access-schemas",
How can a Snowflake user post-process the result of SHOW FILE FORMATS?,multiple-choice,A. Use the RESULT_SCAN function.,B. Create a CURSOR for the command.,C. Put it in the FROM clause in brackets.,D. Assign the command to RESULTSET.,,,,,,,,,,,,1,"To post-process the output of File Format command, you can use the RESULT_SCAN function, which treats the output as a table that can be queried.
A correct. first run SHOW FILE FORMATS then SELECT * FROM TABLE(RESULT_SCAN(LAST_QUERY_ID(-1)))  https://docs.snowflake.com/en/sql-reference/functions/result_scan#usage-notes
A correct - https://docs.snowflake.com/en/sql-reference/sql/show-file-formats",
"When initially creating an account in Snowflake, which settings can be specified? (Choose two.)",multi-select,A. Account name,B. Organization name,C. Account locator,D. Region,E. Snowflake edition,,,,,,,,,,,"4, 5","A, D, E are correct - https://docs.snowflake.com/en/sql-reference/sql/create-account#access-control-requirements
D and E
AE correct - https://docs.snowflake.com/en/sql-reference/sql/create-account",
What is one of the benefits of using a multi-cluster virtual warehouse?,multiple-choice,A. It will speed up data loading.,B. It will reduce the cost of running the warehouse.,C. It will automatically increase the warehouse size as needed.,D. It will automatically start and stop additional clusters as needed.,,,,,,,,,,,,4,"D is correct.
D correct - https://docs.snowflake.com/en/user-guide/warehouses-multicluster",
When should a multi-cluster virtual warehouse be used in Snowflake?,multiple-choice,A. When queuing is delaying query execution on the warehouse,B. When there is significant disk spilling shown on the Query Profile,C. When dynamic vertical scaling is being used in the warehouse,D. When there are no concurrent queries running on the warehouse,,,,,,,,,,,,1,"A is correct.
A correct. https://docs.snowflake.com/en/user-guide/warehouses-multicluster#what-is-a-multi-cluster-warehouse
A correct - https://docs.snowflake.com/en/user-guide/warehouses-multicluster",
What is used to denote a pre-computed data set derived from a SELECT query specification and stored for later use?,multiple-choice,A. View,B. Secure view,C. Materialized view,D. External table,,,,,,,,,,,,3,"C is correct.
C correct - https://docs.snowflake.com/en/user-guide/views-materialized",
"A Snowflake user wants to temporarily bypass a network policy by configuring the user object property MINS_TO_BYPASS_NETWORK_POLICY.

What should they do?",multiple-choice,A. Use the SECURITYADMIN role.,B. Use the SYSADMIN role.,C. Use the USERADMIN role.,D. Contact Snowflake Support.,,,,,,,,,,,,4,"D is the correct Answer https://docs.snowflake.com/en/user-guide/network-policies#bypassing-a-network-policy
D correct - https://docs.snowflake.com/en/user-guide/network-policies",
What is the default access of a securable object until other access is granted?,multiple-choice,A. No access,B. Read access,C. Write access,D. Full access,,,,,,,,,,,,1,"Correct Answer is A https://docs.snowflake.com/en/user-guide/security-access-control-overview#:~:text=in%20Snowflake%20are%3A-,Securable%20object,-%3A%20An%20entity
A correct - https://docs.snowflake.com/en/user-guide/security-access-control-overview",
From what stage can a Snowflake user omit the FROM clause while loading data into a table?,multiple-choice,A. The user stage,B. The table stage,C. The internal named stage,D. The external named stage,,,,,,,,,,,,2,"B - https://docs.snowflake.com/en/user-guide/data-load-local-file-system-copy
Confirmed, B, according to docs: ""Note that when copying data from files in a table stage, the FROM clause can be omitted because Snowflake automatically checks for files in the table stage.""
B correct - https://docs.snowflake.com/en/user-guide/data-load-local-file-system-copy",
What is used during the FIRST execution of SELECT COUNT(*) FROM ORDER?,multiple-choice,A. Remote disk cache,B. Virtual warehouse cache,C. Cache result,D. Metadata-based result,,,,,,,,,,,,4,"Metadata keeps information about the row count
D correct - https://community.snowflake.com/s/question/0D5Do00000IaCZlKAN/what-is-the-difference-between-metadata-cache-and-result-cache",
What is the purpose of a resource monitor in Snowflake?,multiple-choice,A. To monitor the query performance of virtual warehouses,B. To create and suspend virtual warehouses automatically,C. To manage cloud services needed for virtual warehouses,D. To control costs and credit usage by virtual warehouses,,,,,,,,,,,,4,D correct - https://docs.snowflake.com/en/user-guide/resource-monitors,
Which data formats are supported by Snowflake when unloading semi-structured data? (Choose two.),multi-select,A. Binary file in Avro,B. Binary file in Parquet,C. Comma-separated JSON,D. Newline Delimited JSON,E. Plain text file containing XML elements,,,,,,,,,,,"2, 4","BD probably - NDJSON mentioned in https://docs.snowflake.com/en/user-guide/data-unload-prepare and particualry Parquet as well
Correct answer is B and D.  Binary file in Parquet Newline Delimited JSON (ndjson)  https://docs.snowflake.com/en/user-guide/data-unload-prepare#supported-file-formats",
"In Snowflake, the use of federated authentication enables which Single Sign-On (SSO) workflow activities? (Choose two.)",multi-select,A. Authorizing users,B. Initiating user sessions,C. Logging into Snowflake,D. Logging out of Snowflake,E. Performing role authentication,,,,,,,,,,,"3, 4","The correct Answer is C and D.  Federated authentication enables the following SSO workflows: Logging into Snowflake. Logging out of Snowflake. System timeout due to inactivity.  https://docs.snowflake.com/en/user-guide/admin-security-fed-auth-overview#supported-sso-workflows
CD correct - https://docs.snowflake.com/en/user-guide/admin-security-fed-auth-overview",
What does the worksheet and database explorer feature in Snowsight allow users to do?,multiple-choice,A. Add or remove users from a worksheet.,B. Move a worksheet to a folder or a dashboard.,C. Combine multiple worksheets into a single worksheet.,D. Tag frequently accessed worksheets for ease of access.,,,,,,,,,,,,2,"The correct answer is B. Move a worksheet to a folder or a dashboard.  The worksheet and database explorer feature in Snowsight, Snowflake's web-based SQL editor and data visualization tool, allows users to organize and manage their worksheets effectively. While the other options mentioned (A, C, and D) are not specific to the worksheet and database explorer feature, moving a worksheet to a folder or a dashboard is a key functionality provided by Snowsight.  By using the worksheet and database explorer, users can easily organize their worksheets by creating folders or dashboards and moving worksheets into them. This helps in maintaining a structured and organized workspace, making it easier to locate and access specific worksheets when needed.
B correct - https://docs.snowflake.com/en/user-guide/ui-snowsight-worksheets",
"When unloading data from Snowflake to AWS, what permissions are required? (Choose two.)",multi-select,A. s3:DeleteObject,B. s3:CopyObject,C. s3:GetBucketAcl,D. s3:PutObject,E. s3:GetBucketLocation,,,,,,,,,,,"1, 4","Answer is A & D.  Snowflake requires the following permissions on an S3 bucket and folder to create new files in the folder (and any sub-folders):  s3:DeleteObject s3:PutObject  https://docs.snowflake.com/en/user-guide/data-unload-s3#configuring-an-s3-bucket-for-unloading-data
AD correct - https://docs.snowflake.com/en/user-guide/data-unload-s3",
What step can reduce data spilling in Snowflake?,multiple-choice,A. Using a larger virtual warehouse,B. Increasing the virtual warehouse maximum timeout limit,C. Increasing the amount of remote storage for the virtual warehouse,D. Using a Common Table Expression (CTE) instead of a temporary table,,,,,,,,,,,,1,"Answer is A: https://docs.snowflake.com/en/user-guide/ui-query-profile For some operations (e.g. duplicate elimination for a huge data set), the amount of memory available for the compute resources used to execute the operation might not be sufficient to hold intermediate results. As a result, the query processing engine will start spilling the data to local disk. If the local disk space is not sufficient, the spilled data is then saved to remote disks.  This spilling can have a profound effect on query performance (especially if remote disk is used for spilling). To alleviate this, we recommend:  Using a larger warehouse (effectively increasing the available memory/local disk space for the operation), and/or  Processing data in smaller batches.
Answer A is correct! Adjusting the available memory of a warehouse can improve performance because a query runs substantially slower when a warehouse runs out of memory, which results in bytes “spilling” onto storage. https://docs.snowflake.com/en/user-guide/performance-query-warehouse
A correct - https://community.snowflake.com/s/article/Performance-impact-from-local-and-remote-disk-spilling",
Which user preferences can be set for a user profile in Snowsight? (Choose two.),multi-select,A. Multi-Factor Authentication (MFA),B. Default database,C. Default schema,D. Notifications,E. Username,,,,,,,,,,,"1, 4","Correct Ans is A&D. default warehouse and role can be set not Database and schema
The correct Answer is A & D.  Setting User Details and Preferences: ------------------------------------------------------------------------------------- Profile photo Username (cannot be changed) First name Last name Password Email Default experience (Snowsight or Classic) Language (English, Japanese) *Notifications (Browser Notification) *Multi-factor authentication Session Timeout  https://docs.snowflake.com/en/user-guide/ui-snowsight-gs#setting-user-details-and-preferences",
What privilege is needed for a Snowflake user to see the definition of a secure view?,multiple-choice,A. OWNERSHIP,B. MODIFY,C. CREATE,D. USAGE,,,,,,,,,,,,1,"The definition of a secure view is only exposed to authorized users (i.e. users who have been granted the role that owns the view).  However, users that have been granted IMPORTED PRIVILEGES privilege on the SNOWFLAKE database or another shared database have access to secure view definitions via the VIEWS Account Usage view.  Users granted the ACCOUNTADMIN role or the SNOWFLAKE.OBJECT_VIEWER database role can also see secure view definitions via this view. The preferred, least-privileged means of access is the SNOWFLAKE.OBJECT_VIEWER database role.  https://docs.snowflake.com/en/user-guide/views-secure",
What general guideline does Snowflake recommend when setting the auto-suspension time limit?,multiple-choice,A. Set tasks for immediate suspension.,B. Set tasks for suspension after 5 minutes.,C. Set query warehouses for suspension after 15 minutes.,D. Set query warehouses for suspension after 30 minutes.,,,,,,,,,,,,2,"B is correct. https://docs.snowflake.com/en/user-guide/warehouses-considerations#automating-warehouse-suspension
If you enable auto-suspend, we recommend setting it to a low value (e.g. 5 or 10 minutes or less) because Snowflake utilizes per-second billing. This will help keep your warehouses from running (and consuming credits) when not in use.  https://docs.snowflake.com/en/user-guide/warehouses-considerations#automating-warehouse-suspension",
When does Snowflake automatically encrypt data that is loaded into Snowflake? (Choose two.),multi-select,A. After the data is micro-partitioned.,B. After loading the data into a table.,C. After loading the data into an internal stage.,D. After loading data into an external stage.,E. Only when using an encrypted stage.,,,,,,,,,,,"2, 3","https://docs.snowflake.com/en/user-guide/security-encryption-end-to-end 1. A user uploads one or more data files to a stage. If the stage is an internal (i.e. Snowflake) stage (Image B) data files are automatically encrypted by the Snowflake client on the user’s local machine prior to being transmitted to the internal stage, in addition to being encrypted after they are loaded into the stage. 2. The user loads the data from the stage into a table. In Snowflake, all data at rest is always encrypted and encrypted with TLS in transit
CD should be correct",
"When data is loaded into Snowflake, what formats does Snowflake use internally to store the data in cloud storage? (Choose two.)",multi-select,A. Key-value,B. Columnar,C. Graph,D. Document,E. Compressed,,,,,,,,,,,"2, 5","B and E are correct
BE is correct",
"A user has 10 files in a stage containing new customer data. The ingest operation completes with no errors, using the following command:

COPY INTO my_table FROM @my_stage;

The next day the user adds 10 files to the stage so that now the stage contains a mixture of new customer data and updates to the previous data. The user did not remove the 10 original files.

If the user runs the same COPY INTO command what will happen?",multiple-choice,A. All data from all of the files on the stage will be appended to the table.,B. Only data about new customers from the new files will be appended to the table.,C. The operation will fail with the error UNCERTAIN FILES IN STAGE.,D. All data from only the newly-added files will be appended to the table.,,,,,,,,,,,,4,"According to the Snowflake documentation, when you run the COPY INTO command again without removing the original files, all data from all of the files on the stage will be appended to the table
D is correct
D - only the new files will be appended B - SF doesn't know which customer is new (COPY doesn't care about the meaning of data, care about files (file names) which are new (no kept in metadata as loaded)
D is correct Loading Older Files¶ This section describes how the COPY INTO <table> command prevents data duplication differently based on whether the load status for a file is known or unknown. If you partition your data in stages using logical, granular paths by date (as recommended in Organizing Data by Path) and load data within a short period of time after staging it, this section largely does not apply to you. However, if the COPY command skips older files (i.e. historical data files) in a data load, this section describes how to bypass the default behavior. https://docs.snowflake.com/en/user-guide/data-load-considerations-load#executing-parallel-copy-statements-that-reference-the-same-data-files",
Which SQL command can be used to see the CREATE definition of a masking policy?,multiple-choice,A. SHOW MASKING POLICIES,B. DESCRIBE MASKING POLICY,C. GET_DDL,D. LIST MASKING POLICIES,,,,,,,,,,,,3,"This is the result of B https://docs.snowflake.com/en/sql-reference/sql/desc-masking-policy.html#example So B can't be the answer  And this is the result of C https://docs.snowflake.com/en/sql-reference/functions/get_ddl.html#examples So C is the answer
Going by snowflake documentation, seems both b & c is correct.  https://docs.snowflake.com/en/sql-reference/sql/create-masking-policy#usage-notes",
Which of the following is the Snowflake Account_Usage.Metering_History view used for?,multiple-choice,A. Gathering the hourly credit usage for an account,B. Compiling an account's average cloud services cost over the previous month,C. Summarizing the throughput of Snowpipe costs for an account,D. Calculating the funds left on an account's contract,,,,,,,,,,,,1,"The METERING_HISTORY view in the ACCOUNT_USAGE schema can be used to return the hourly credit usage for an account within the last 365 days (1 year).  https://docs.snowflake.com/en/sql-reference/account-usage/metering_history.html
A is correct: https://docs.snowflake.com/en/sql-reference/account-usage/metering_history.html#metering-history-view",
Query parsing and compilation occurs in which architecture layer of the Snowflake Cloud Data Platform?,multiple-choice,A. Cloud services layer,B. Compute layer,C. Storage layer,D. Cloud agnostic layer,,,,,,,,,,,,1,"Answer : Cloud Service Layer
https://docs.snowflake.com/en/user-guide/intro-key-concepts.html#cloud-services",
Which of the following Snowflake objects can be shared using a secure share? (Choose two.),multi-select,A. Materialized views,B. Sequences,C. Procedures,D. Tables,E. Secure User Defined Functions (UDFs),,,,,,,,,,,"4, 5","The following Snowflake database objects can be shared:  Tables External tables Secure views Secure materialized views Secure UDFs  https://docs.snowflake.com/en/user-guide/data-sharing-intro.html#introduction-to-secure-data-sharing
D&E https://docs.snowflake.com/en/user-guide/data-sharing-intro.html#introduction-to-secure-data-sharing",
What happens to the underlying table data when a CLUSTER BY clause is added to a Snowflake table?,multiple-choice,A. Data is hashed by the cluster key to facilitate fast searches for common data values,B. Larger micro-partitions are created for common data values to reduce the number of partitions that must be scanned,C. Smaller micro-partitions are created for common data values to allow for more parallelism,D. Data may be colocated by the cluster key within the micro-partitions to improve pruning performance,,,,,,,,,,,,4,"I think D: https://docs.snowflake.com/en/user-guide/tables-clustering-keys.html#benefits-of-defining-clustering-keys-for-very-large-tables
A clustering key is a subset of columns in a table (or expressions on a table) that are explicitly designated to co-locate the data in the table in the same micro-partitions. This is useful for very large tables where the ordering was not ideal (at the time the data was inserted/loaded) or extensive DML has caused the table’s natural clustering to degrade.  https://docs.snowflake.com/en/user-guide/tables-clustering-keys.html#benefits-of-defining-clustering-keys-for-very-large-tables",
Which of the following conditions must be met in order to return results from the results cache? (Choose two.),multi-select,A. The user has the appropriate privileges on the objects associated with the query.,B. Micro-partitions have been reclustered since the query was last run.,C. The new query is run using the same virtual warehouse as the previous query.,D. The query includes a User Defined Function (UDF).,E. The query has been run within 24 hours of the previously-run query.,,,,,,,,,,,"1, 5","A&E as the below  link: https://docs.snowflake.com/en/user-guide/querying-persisted-results.html#retrieval-optimization
E is correct and maybe A If the same query is fired again in 24 hrs, it will not be COMPUTED, which means it will not be charged. and it is not affected by WH suspension. So as the previous question the same exact query will return the pre-computed results if the underlying data hasn't changed and the results were last accessed within previous 24-hour period",
Which statement about billing applies to Snowflake credits?,multiple-choice,A. Credits are billed per-minute with a 60-minute minimum.,B. Credits are used to pay for cloud data storage usage.,C. Credits are consumed based on the number of credits billed for each hour that a warehouse runs.,D. Credits are consumed based on the warehouse size and the time the warehouse is running.,,,,,,,,,,,,4,"D is the answer. A virtual warehouse is one or more clusters of compute resources that enable executing queries, loading data, and performing other DML operations. Snowflake credits are used to pay for the processing time used by each virtual warehouse.  Snowflake credits are charged based on the number of virtual warehouses you use, how long they run, and their size.
I think D https://docs.snowflake.com/en/user-guide/cost-understanding-compute.html#virtual-warehouse-credit-usage",
"A user needs to create a materialized view in the schema MYDB.MYSCHEMA.

Which statements will provide this access?",multiple-choice,"A. GRANT ROLE MYROLE TO USER USER1;
CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO ROLE MYROLE;","B. GRANT ROLE MYROLE TO USER USER1;
CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO USER USER1;","C. GRANT ROLE MYROLE TO USER USER1;
CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO USER1;","D. GRANT ROLE MYROLE TO USER USER1;
CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO MYROLE;",,,,,,,,,,,,1,"A is the correct answer https://docs.snowflake.com/en/sql-reference/sql/grant-privilege.html#examples
in all commands it is missing the keyword GRANT before ""CREATE MATERIALIZED VIEW"" The answer A is correct but the answer D is correct too because the keyword ROLE is  optional:  https://docs.snowflake.com/en/sql-reference/sql/grant-privilege.html TO [ ROLE ] <role_name> [ WITH GRANT OPTION ]  So the question must allow for multiple answers.",
What is the purpose of multi-cluster virtual warehouses?,multiple-choice,A. To create separate data warehouses to increase query optimization,B. To allow users the ability to choose the type of compute nodes that make up a virtual warehouse cluster,C. To eliminate or reduce queuing of concurrent queries,D. To allow the warehouse to resize automatically,,,,,,,,,,,,3,"answer is correct
C. To eliminate or reduce queuing of concurrent queries",
Which of the following is a valid source for an external stage when the Snowflake account is located on Microsoft Azure?,multiple-choice,A. An FTP server with TLS encryption,B. An HTTPS server with WebDAV,C. A Google Cloud storage bucket,D. A Windows server file share on Azure,,,,,,,,,,,,3,"Correct answer is C. Snowflake supports loading data from files staged in any of the following locations, regardless of the cloud platform for your Snowflake account: • Internal (i.e. Snowflake) stages • Amazon S3 • Google Cloud Storage • Microsoft Azure blob storage
https://docs.snowflake.com/en/sql-reference/sql/create-stage  External stage References data files stored in a location outside of Snowflake. Currently, the following cloud storage services are supported:  Amazon S3 buckets  Google Cloud Storage buckets  Microsoft Azure containers",
Which database objects can be shared with the Snowflake secure data sharing feature? (Choose two.),multi-select,A. Files,B. External tables,C. Secure User-Defined Functions (UDFs),D. Sequences,E. Streams,,,,,,,,,,,"2, 3","BC are correct
https://docs.snowflake.com/en/user-guide/data-sharing-intro  Secure Data Sharing lets you share selected objects in a database in your account with other Snowflake accounts. You can share the following Snowflake database objects:  Tables  External tables  Secure views  Secure materialized views  Secure UDFs
B. External tables C. Secure User-Defined Functions (UDFs)",
Which statements reflect key functionalities of a Snowflake Data Exchange? (Choose two.),multiple-choice,"A. If an account is enrolled with a Data Exchange, it will lose its access to the Snowflake Marketplace.",B. A Data Exchange allows groups of accounts to share data privately among the accounts.,"C. A Data Exchange allows accounts to share data with third, non-Snowflake parties.",D. Data Exchange functionality is available by default in accounts using the Enterprise edition or higher.,E. The sharing of data in a Data Exchange is bidirectional. An account can be a provider for some datasets and a consumer for others.,,,,,,,,,,,5,"B and E
Answer : B and C https://docs.snowflake.com/en/user-guide/data-exchange-benefits.html",
"A Snowflake user executed a query and received the results. Another user executed the same query 4 hours later. The data had not changed.

What will occur?",multiple-choice,"A. No virtual warehouse will be used, data will be read from the result cache.","B. No virtual warehouse will be used, data will be read from the local disk cache.",C. The default virtual warehouse will be used to read all data.,D. The virtual warehouse that is defined at the session level will be used to read all data.,,,,,,,,,,,,1,"A is right. Don't overthink it
seems i am already overthinking - why A? if another user is from diff account then how the results can be retrieved from result cache ?, Thanks",
Which feature allows a user the ability to control the organization of data in a micro-partition?,multiple-choice,A. Range Partitioning,B. Search Optimization Service,C. Automatic Clustering,D. Horizontal Partitioning,,,,,,,,,,,,3,"I think C
Automatic Clustering = Defining Clustering key ""All you need to do is define a clustering key for each table"" https://docs.snowflake.com/en/user-guide/tables-auto-reclustering",
Which privilege must be granted to a share to allow secure views the ability to reference data in multiple databases?,multiple-choice,A. CREATE_SHARE on the account,B. SHARE on databases and schemas,C. SELECT on tables used by the secure view,D. REFERENCE_USAGE on databases,,,,,,,,,,,,4,"https://docs.snowflake.com/en/user-guide/data-sharing-mutiple-db.html
https://docs.snowflake.com/en/user-guide/data-sharing-mutiple-db",
In which use case does Snowflake apply egress charges?,multiple-choice,A. Data sharing within a specific region,B. Query result retrieval,C. Database replication,D. Loading data into Snowflake,,,,,,,,,,,,3,"Answer is Database Replication
https://docs.snowflake.com/en/user-guide/cost-understanding-data-transfer.html",
Which of the following compute resources or features are managed by Snowflake? (Choose two.),multi-select,A. Execute a COPY command,B. Updating data,C. Snowpipe,D. AUTOMATIC_CLUSTERING,E. Scaling up a warehouse,,,,,,,,,,,"3, 4","CD are correct
https://docs.snowflake.com/en/user-guide/cost-understanding-compute.html#serverless-features
- Snowpipe uses Snowflake-supplied compute resources. - Automatic Clustering is the Snowflake service that seamlessly and continually manages all reclustering, as needed, of clustered tables.",
A materialized view should be created when which of the following occurs? (Choose two.),multi-select,A. There is minimal cost associated with running the query.,B. The query consumes many compute resources every time it runs.,C. The base table gets updated frequently.,D. The query is highly optimized and does not consume many compute resources.,E. The results of the query do not change often and are used frequently.,,,,,,,,,,,"2, 5","B&E https://docs.snowflake.com/en/user-guide/views-materialized.html#deciding-when-to-create-a-materialized-view
B and D is the right answer Create a materialized view when all of the following are true:  The query results from the view don’t change often. This almost always means that the underlying/base table for the view doesn’t change often, or at least that the subset of base table rows used in the materialized view don’t change often.  The results of the view are used often (typically significantly more often than the query results change).  The query consumes a lot of resources. Typically, this means that the query consumes a lot of processing time or credits, but it could also mean that the query consumes a lot of storage space for intermediate results.",
